,date,author,twitter_name,text,number_of_likes,number_of_retweets
26,2022-10-09 18:16:24+00:00,𝓐𝓷𝓪 𝓜𝓸𝓷𝓬𝓪𝓭𝓪 𝓒𝓪𝓻𝓪𝓬𝓬𝓲𝓸𝓵𝓲 🇭🇳,AnaMCHN,Outfits: Nacho vs Javeriana Jajajajajaja menos mal yo uso uniformes 🤣 https://t.co/SyzYiNVHtY,0,0
27,2022-10-09 18:12:03+00:00,Edweirdo Capetillo,SoyCoyote,"Si Yo fuera el dueño de la Javeriana ponía a todos esos malpariditos que joden con su ropa a hacer una campaña para conseguir vestuario digno, decente y nuevo para personas de escasos ingresos. Seguro se les quita la güevonada.",7,1
28,2022-10-09 18:12:03+00:00,PostMalona,_valensunshine,Silenciar javeriana y externado,0,0
29,2022-10-09 18:11:07+00:00,Ander ,Andergrad,"@nacional_memes Parce, creo que al ver el video de la Javeriana, el del Externado y ahora esto ya entiendo muchas cosas… que cringe esos 3 videos weon jajajajaja, gomelos vs sobreactuados vs mamertos full jajajaja además yo no visto como un mamerto full siendo de la nacho así que no soy! :v",10,0
30,2022-10-09 18:10:51+00:00,Giselle,GiseHenao,J.K. Rowling después de ver los vídeos de la Javeriana y de la Externado. https://t.co/rhx8XL811D,1,0
31,2022-10-09 18:02:54+00:00,leonardoruizospina,leonardoruizosp,"@UExternado No creo , se ve mal falso que los estudiantes de la   javeriana , si resaltó que quede sorprendió y es así que se preocupen más por aparentar que por educarse teniando todo para hacerlo , pregúnteles algo de cultura general en ambas universidades y los corchande una por malprepar",0,0
32,2022-10-09 17:58:01+00:00,Una Psicóloca,CalleseLaJetaa,"A mí sí me causan gracia los videos que están haciendo de otras universidades, dando a un mensaje a esa gente de la Javeriana, para que dejen de ser tan imbéciles y superficiales, mucha plata pero poco cerebro, con todo respeto.",2,0
33,2022-10-09 17:56:02+00:00,ℜ𝔬𝔟𝔟 ᱬ,robbhernandez,"wtf ese vídeo de los del externado, me dio más cringe que el original de la Javeriana JAJAJAJAJA",2,0
34,2022-10-09 17:55:22+00:00,bigotes,latinpowerbog,@Apolita92 Es que de hecho la mayoría de estudiantes de Javeriana y Andes tampoco son gomelos.,0,0
35,2022-10-09 17:53:51+00:00,Lina M. Perilla S.,linam_89,"@GigiMtn @IvonneMilenaGo OJO porque su comentario deja ver que la resentida social, la mediocridad, la que tiene falta de educación así haya pasado por la Javeriana y el Liceo Francés es otra.  ¿Le parece coherente DENIGRAR a los empleados en una empresa? ¿Acaso ser empleado los hace menos persona?",0,0
36,2022-10-09 17:50:10+00:00,MonikaJimenez,Monicamoralesj4,@RevistaSemana Mi hijo vistiendose como los de la Javeriana pero gracias a Dios con intelecto para estudiar en la distrital.,0,0
37,2022-10-09 17:48:05+00:00,Jorge 👀,tintomatico,@Napocespedes Del vídeo de el externado críticando el Outfit de la Javeriana,0,0
38,2022-10-09 17:47:39+00:00,Júpiter in spooky season 👻 🎃,juuupiter_2006,"Ayno si son latosos, me quedo con los de la javeriana https://t.co/JxEMaIbF0d",0,0
39,2022-10-09 17:47:14+00:00,Lucky Agropecuario लुवुस,addkerberos,"Bueno y conozco mucha gente de la Javeriana y los Andes que compra en San Andresito y San Victorino, como cualquier mortal.",0,0
40,2022-10-09 17:46:33+00:00,Cathy la PutinaoCachoneada,louis30274036,"El problema no es de javeriana, externado, andes, o la q sea, es el degeneramiento de esos pelados , los padres q no les dieron valores éticos ni morales, q son de cristal q creen saber todo y no saben ni 💩!!",1,0
41,2022-10-09 17:44:26+00:00,SinFace,Sinfaces,El video del externado es peor que el de la Javeriana...,1,1
42,2022-10-09 17:41:43+00:00,patsyn’t,microrexxx,@EsteValencia Da más cringe que el de la javeriana.,1,0
43,2022-10-09 17:36:09+00:00,✧ Shamshel ✧,black_eyebrows,@sinofag Qué es javeriana??,0,0
44,2022-10-09 17:34:17+00:00,.,NoPonziConditio,"Dios mío, no dejan de salir videos de gente intentando ser ""mejores"" que los de la javeriana. Ahora llegó el pana de la JUCO. https://t.co/2uvodbnikc",6,0
45,2022-10-09 17:32:55+00:00,Camilo Alfonso Pérez Otero,TrinadorSodor,"@Lahijadelpes23 Siento pena de mi Alma Mater. Además, cazó pelea con la Javeriana como si la travesura no fuera autonomía de quienes hicieron el TikTok. Puro pelao roto",0,0
46,2022-10-09 17:32:45+00:00,Mayra Alejandra.,Aleja_Cabo,@laurapuellov Pase el de la javeriana,0,0
47,2022-10-09 17:28:22+00:00,Lux Lancheros🦜🦜🦜🦜,LuxAndLan,Bastante misógino y desinformado venir a menospreciar el valor de la moda en la academia. A mí lo de la Javeriana se me hace tan interesante como el Fashion Police de Barranquilla y es una forma de leer la moda que reportearé pronto. https://t.co/looHDwwcvc,20,2
48,2022-10-09 17:24:31+00:00,𝑺𝒑𝒐𝒐𝒌𝒚𝒈𝒂𝒓𝒊𝒕𝒂,seagarita,"Ese temita de la ropa de la Javeriana, el Externado y la Nacho si es una pereza. Igual uno siempre se vestirá feo para alguien así sea un outfit de 100k o de 3 palos. Maduren",14,1
49,2022-10-09 17:19:31+00:00,Guarichamicera,Guarichamicera,@UExternado Esto es más ridículo que el video de los estudiantes de la javeriana. qué fictys,0,1
50,2022-10-09 17:18:05+00:00,C⁷,BlueSide_FM,@UExternado Dieron muuuucho mas cringe que los de la javeriana jajajaja si es que eso era posible.,0,1
51,2022-10-09 17:16:47+00:00,Juan Camilo ,JuanCamilo,"¿Dura? Diría patética yo. Mientras el video de la Javeriana lo hicieron unos estudiantes cualquiera, el del Externado lo hicieron en la cuenta oficial de la Universidad y solo da cringe. https://t.co/uFXDphgJE4",10,1
52,2022-10-09 17:14:01+00:00,Lisa Junior,alpeange,Será que la que decía que se graduó de la Javeriana pero en realidad fue de la Cooperativa en Neiva ya habrá almorzado ?,9,0
53,2022-10-09 17:12:26+00:00,Pulzo,pulzo,Dura respuesta del Externado a video de estudiantes de la Javeriana por precios de su ropa 🤔👉 https://t.co/bS9DoV6du7 https://t.co/yPWHNAripy,0,0
54,2022-10-09 17:11:52+00:00,emilio,meursault_27,"@avecesamalia Yo ya ni se que es peor, si el vídeo de la Javeriana, el del externado o este hilo, la plena que esto ya parece un círculo vicioso de vergüenza ajena.",1,0
55,2022-10-09 17:11:52+00:00,#NoNosFallen,jairogarciacol,"le pregunté a mi hija ""Cuanto vale tu outfit?"" y me mandó a la gran puta mierda. ¿Usted cree que soy Javeriana o peor aún cree que soy del Externado?",0,0
56,2022-10-09 17:08:58+00:00,Alirio,CareRaroHp,"Yo no he visto los vídeos universitarios y planeo quedarme así jajajajaja, todo lo que salga(diferente al estudio) de estudiantes de la Javeriana y el externado es basura.",1,0
57,2022-10-09 17:08:36+00:00,🎀Ɠմąվąҍìէąքìղҟ🎀,PaoPapita1,"@UExternado No les importa lo que llevan puesto, porque se lo compraron los papitos. Video libreteado, me quedo con los de los chinos de los Andes y Javeriana que dicen lo que cuesta y ya, cuál es lío, el que tenga pa’ comprarlo que se lo ponga. Esto no los hace mejores o peores personas",4,0
58,2022-10-09 17:06:28+00:00,El Guapo Chuzmán,FueledByChangua,Después de ver lo de los pelados de la Javeriana y la respuesta por parte de los del Externado sólo me hace preguntarme por qué putas es que ustedes romantizan tanto la formación universitaria.,94,3
59,2022-10-09 17:05:18+00:00,natalia🍓,NJhsk,uno de mis mayores miedos es ir a la javeriana y que me pregunten cuanto cuesta mi ropa,0,0
